6E+17,RT @avon_valerie: SKIN SO SOFT AQUA EXPRESS with Watermint Oil for lightweight time-released hydration and a fresh wat http://t.co/LPCI8Fw2â€_,[],"[{""expanded_url"":""http://pinterest.com/pin/355925176776425171/""}]",,,,,,,,
6E+17,RT @HoelscherSean: #AwesomeMothA Off Road Chevy @habibautos #crazy #cars - http://t.co/AFaZJ3cvYa,"[{""text"":""AwesomeMothA""}",,,,,,,,,
6E+17,Join Our 18+ Social Site on http://t.co/DwkdkZmcce http://t.co/2jJAnOd7vD,[],"[{""expanded_url"":""http://bit.ly/1xStJ1w""}",,,,,,,,
6E+17,Truth http://t.co/3O3oYchcd4,[],"[{""expanded_url"":""http://pinterest.com/pin/271975264970658103/""}]",,,,,,,,
6E+17,Photoset: lustik: Masks by Gladys Paulus. Photos Bella West. Etsy Shop Lustik:Â  twitter | pinterest | etsy http://t.co/dtxtFN5zOo,[],"[{""expanded_url"":""http://tmblr.co/ZBTCov1cIGZRt""}]",,,,,,,,
6E+17,"â€œ@szallasadoknak: ""7 Pinterest Marketing Tools and Tips""  http://t.co/9YM3S4Y5eNâ€ù #SocialMediaSecret","[{""text"":""SocialMediaSecret""}]","[{""expanded_url"":""http://bit.ly/1D7RKQb""}]",,,,,,,,
6E+17,Sugar Free (Banana-Apple Bread) - Recipe - http://t.co/9PCmfDONxy http://t.co/ilkrmYEMuw,[],"[{""expanded_url"":""http://Cooks.com""}",,,,,,,,
6E+17,My mom got a Pinterest and she is going trough a profile with tumblr post and keeps on laughing,[],[],,,,,,,,
6E+17,RT @avon_valerie: SKIN SO SOFT AQUA EXPRESS with Watermint Oil for lightweight time-released hydration and a fresh wat http://t.co/sTEltWgPâ€_,[],"[{""expanded_url"":""http://pinterest.com/pin/355925176776425199/""}]",,,,,,,,
6E+17,eDressit 02149100 Sequin Tulle &amp; Lace Sleeves Evening Gown http://t.co/TTQXzpuqot,[],"[{""expanded_url"":""http://pinterest.com/pin/311241024223515221/""}]",,,,,,,,
6E+17,annika http://t.co/K8HszFluMt,[],"[{""expanded_url"":""http://pinterest.com/pin/22236591886593390/""}]",,,,,,,,
6E+17,http://t.co/PwdNjQP3dy http://t.co/9RvrNp1CRR,[],"[{""expanded_url"":""http://www.lookyoungagain.ca""}",,,,,,,,
6E+17,I don't,,,,,,,,,,
6E+17,@heyjae0901 follow me on pinterest. ....,[],[],,,,,,,,
6E+17,Outrageous chocolate cookies! Soft and chewy,,,,,,,,,,
6E+17,The Ultimate Guide to Body Language http://t.co/o48020SgTZ,[],"[{""expanded_url"":""http://pinterest.com/pin/416160821792618345/""}]",,,,,,,,
